user,rating,date,review
Marie-Pierre,"4,0",13 avril 2019,"Je trouve les Huawei pratiques simples d'utilisation, j'avais un p8 lite 2017 qui n'avait que 16GO, dont la carte SD buggait et qui m'a été volé. Celui-ci à 64GO, je n'ai pas essayé de mettre une SD encore mais j'ai lu que le problème était récurrent sur les Huawei. Après un mois d'utilisation il présente quelques problèmes de localisation GPS avec Google map (déjà rencontré avec le p8) et la qualité des photos est vraiment décevante (surexposées et pas nettes). Cela ne gêne pas mon utilisation, mais je changerai sûrement de marque pour mon prochain achat."
Jacques,"5,0",18 mars 2019,"Produit bien au-delà de mes attentes que ce soit par ses qualités techniques, le son, l'image,toutes ses applications preintegrees, la durée de la batterie (un à deux jours) pour les accros comme moi), rien à redire, c'est le meilleur appareil que j'ai eu jusqu'ici alors que je suis passé par les plus grandes marques qui elles m'ont déçu, je ne changerais plus dorénavant car complètement satisfait !!!
Choisissez le et vous ne le regretterez pas !!
Pour ne pas être surpris, prévoyez que ce smartphone n'accepte que les nanosims."
marc,"1,0",13 mars 2019,"L'ensemble est plus que raisonnable.
Dommage qu'il détruise les cartes sd c'est apparemment un problème récurrent sur ce modèle.
Je le retourne contre remboursement."
Client d'Amazon,"1,0",3 juin 2019,"Usage normal - appels,  mms , sms, photo.
Le clavier du appareil à "" sa propre vie"" - par exemple - pendant que je suis en train d'écrire un simple sms, il "" decide "" de se diriger sur l'ecran d'accueil... c'est tellement énervant.  Il n'est pas du tout pratique ni performant....
Sortant d'un Samsung tout simple, je regrette amèrement cette expérience."
Habitant idl,"4,0",30 avril 2019,Meilleurs qu'un iPhone 6 sur tout les points. Beaucoup de gadgets marrant pour les photos et vidéos. Le plus impressionnant c'est quand même la durée de la batterie.
Maelys Talvat,"5,0",2 janvier 2019,"Ravie de ce smartphone !! Facile d'utilisation, grand ce qui permet une bonne visibilité de chaque détail sur l'écran.
La batterie tiens très bien malgré l'utilisation quotidienne !!!!
Le son et la qualité image est net.
Je conseil ce smartphone ! Très bon rapport qualité/prix !"
Client d'Amazon,"5,0",28 février 2019,"agréablement surprise pour le prix !! je suis passé d'un iphone à un huawei et comment dire ?! je ne regrette pas du tout bien au contraire !!! la batterie me tien 3 jours sur le huawei mate 20 lite alors que chez iphone c'était 1 journée et encore!
bref rien à dire pour le moment il me convient parfaitement ."
julie dedit,"5,0",5 juin 2019,Très bon smartphone avec beaucoup d'effets pour les photos. Très bonne qualité. Je recommande sans hésitation. Je l'ai pris en bleu et il est super beau
Antoine J.,"1,0",19 mai 2019,"Si comme moi vous jouez a des jeux ou il faut bouger une camera ou un joystick ( guns of boom, dragon nest, vainglory ), oubliez ce telephone il y a une bonne demi seconde entre le moment ou vous bouger votre doigt et le moment ou l'appareil réagit, donc a proscrire totalement pour les jeux d'action et les autres truc genre candy crush, même chose, un telephone avec autant de performance mais qui ne permet pas de jouer confortablement c'est bof bof."
Yves Achour,"5,0",22 janvier 2019,"Je suis très heureux d'avoir acheté cet appareil qui fonctionne parfaitement bien.
Appareil très très très rapide et les photos sont excellentes."
Gwen,"5,0",24 mai 2019,"J'ai acheté ce smartphone un peu en urgence car j'avais inopinément cassé mon Huawei mate 10 lite. Grâce à livraison en une journée je l'ai reçu le lendemain.
Ce smartphone répond parfaitement à mes besoins, la navigation est rapide et fluide, il prend de jolie photo, la batterie tient très bien je n'ai plus besoin de recharger mon smartphone tous les soirs. C'est un très bon achat et un excellent rapport qualité prix."
