user,rating,date,review
Anis,"1,0",12 novembre 2018,"Ce tel est juste trop nul, même pas capable de capter la 4G, même mon iphone 4S fait mieux avec la 3G.
Je suis vraiment très déçu par cet achat !"
J Ramos,"5,0",31 août 2018,iPhone 8 Plus acheté chez le vendeur A-MOUTAIN et reçu en 3jours attention pour la livraison rapide le livreur sera chronopost obligatoirement le téléphone est sous blister et en parfaite état de marche.
Linkol,"5,0",3 octobre 2018,Très bon rapport Qualité/Prix par rapport à la concurrence. Pleinement satisfait de mon iPhone.
ERCAN AKBABA,"5,0",7 juin 2018,Merci Amazon 👍
Eleonore,"1,0",3 août 2018,je souhaite recevoir ma facture acuqittée pour ce produit. cdt
inter01,"5,0",23 août 2018,"Produit délivré dans les délais, conforme à la commande"
Deschamps,"5,0",3 septembre 2018,"J’avais peur que ce soit une contrefaçon mais pas du tout un téléphone certe un peu cher à l’achat mais il vaut le coup la qualité des photos est dingue
Un IPhone au top"
Amazon Customer,"1,0",5 janvier 2019,"NE PAS ACHETER. Ne mérite même pas 1 étoile. Après 1 mois, l'iPhone a subitement commencé a beuguer. Encore une iPhone plein de dysfonctionemments reconditionné qui est fait passé pour neuf. Une vraie anarque."
Lacooke,"5,0",11 juillet 2018,"Téléphone reçu hier (une semaine avant la date de livraison prévue 🤗).Le produit est neuf et fonctionne parfaitement.
Vraiment super 👍🏾"
William ,"5,0",30 août 2018,"Reçu rapidement sous 48h. L’iPhone 8 correspond parfaitement à la description et à mes attentes. Puissant et rapide, qualité de finition un niveau au dessus des précédentes versions."
Eric,"5,0",24 décembre 2018,"Iphone neuf , acheté pour le Noel de mon fils , complet dans sa boite d'origine , qualité Apple
Taille équivalente au 7 , moins de 600 euros sur Amazon"
Aurélie J.,"5,0",25 août 2018,Emballage de qualité. Tout y est. Produit scellé. Neuf. Réception ultra rapide en mode premium
famille,"5,0",16 juillet 2018,Acheté de Belgique.  Produit neuf . Aucun problème pour le.faire fonctionner.  Produit parfait .
Jeremie,"5,0",27 novembre 2018,"J'avais un petit doute notamment concernant les commentaires sur du reconditionné, jai recu l'iphone, neuf sans probleme. J'ai appelé apple concernant le numero de serie soit disant du reconditionné ils m'ont dit que tous les iphone sortait du meme entrepot, et que ce numero de serie provient de belgique. Donc pas de souci"
Client d'Amazon,"4,0",9 juin 2018,"Comme promis livré le lendemain, SUPER"
Saif Al-Tekreeti,"5,0",18 septembre 2018,"Très cool et conforme aux spécifications
Je recommanderais de l'acheter"
