user,rating,date,review
Hubeau,"5,0",30 mai 2019,"C'est bon appareil, conforme à la description et très aisé de manipulation je veux commande à 100 % et le vendeur et le produit."
Annems,"5,0",9 juin 2019,"Parfait pour l’usage envisagé, cadeau pour mon Papa qui utilise essentiellement internet et messagerie."
OLIVIA,"5,0",24 mai 2019,"Commandé avant hier avec ""Prime"", reçu avant 20 h aujourd'hui. Service livraison pro.
Visiblement beau, slim, pour le moment je découvre la Bestiole plutôt sympa. Un petit ""grrrrr"", pas  encore
trouvé la touche pour bloquer la majuscule.....
Très beau design, je reviens dans quelques jours pour vous dire ce qu'il a à l'intérieur du capot...."
Mj,"4,0",6 mars 2019,Mon ados l'utilise tout les jours. Très léger. Elle adore l'écran tactile. Bonne investissements
Yfique,"4,0",1 janvier 2019,"Seulement un problème étonnant, le bluetooth ne se connecte que sur des périphériques comme des enceintes, mais pas possible de connecter un smartphone !!. Un peu déçu quand même"
Client d'Amazon,"5,0",17 décembre 2018,super pratique je recommande vivement
Coralie bussy,"1,0",19 mai 2019,Tres tres Déçue de mon achat c'est ordinateur est juste un smartphone avec un écran géant pas de possibilité d'utiliser pack office correctement accès World excel limité.... publicité sans arrêt une horreur....
rachida temimi,"2,0",8 mars 2019,"Problème port USB impossible de mettre une clé USB ou un câble pour charger mon téléphone.  A ma grande surprise, l'écran n'est pas tactile alors que c'est une des raisons qui m'a poussé à l'acheter. Ordinateur reçu avec des traces de doigts partout... déçue de cet achat"
Beccaccia Gérard,"5,0",15 mai 2019,"Excellent Chromebook, rapide, léger et performant"
Gerdex,"2,0",9 février 2019,"L'ordinateur est bien pour ce qui est de la légèreté et pour des tâches simples comme regarder des vidéos youtube. Par contre, j'ai un problème, je ne sais pas mettre de fichiers venant d'un disque dur externe sur l'ordinateur alors que je suis dans la session administrateur ou encore enregistrer une image sur le bureau."
Nathalie,"4,0",26 décembre 2018,Souci avec les ports USB qui sont défaillants. La souris se déconnecte ou n'est pas connectée alors qu'elle est branchée.
mimi56,"5,0",4 février 2019,"Un super produit. Très bel ordinateur léger, taille très agréable. Super Réactif. Je ne m'en passerais plus. Je recommande. J'adore."
Client d'Amazon,"3,0",8 mai 2019,Ordinateur
Theressa,"5,0",24 mai 2019,bon rapport qualité prix
moranzoni,"3,0",14 mars 2019,il n'y a pas de window sur ce portable
Bertrand E,"4,0",20 février 2019,"L'ordinateur est d'une rapidité déconcertante. Malgré sa configuration légère, il fait le job tout en restant fluide.
Mise à part la configuration de l'imprimante qui m'a demandé un peu de temps, c'est du plug-and-play à peu de chose près."
Ueoeb e,"3,0",16 janvier 2019,C'est un très bon PC avec au niveau de la mémoire il y a mensonge sur la marchandise  je me retrouve avec 52 GO au lieu de 64 GO
GAEL,"5,0",8 janvier 2019,Très bel ordinateur de haute performance pour un rapport qualité prix imbattable
AArnault,"5,0",23 mai 2019,"Super, rien de plus à  dire."
LLORENS M.,"5,0",15 février 2019,"Utile pour tous types de travail.
Qualité d'écran au top !"
